Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
Andorra,AND,Age dependency ratio (% of working-age population),SP.POP.DPND,..
Andorra,AND,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,..
Andorra,AND,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,..
Andorra,AND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.062
Andorra,AND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..
Andorra,AND,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,7.2
Andorra,AND,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.4
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.58876549046354
Andorra,AND,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..
Andorra,AND,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.88738036390839
Angola,AGO,Age dependency ratio (% of working-age population),SP.POP.DPND,96.1757436089468
Angola,AGO,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,50.9747016426956
Angola,AGO,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,46.8089247095412
Angola,AGO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,65.514
Angola,AGO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.519
Angola,AGO,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,40.729
Angola,AGO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.19
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.00362972730201
Angola,AGO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,218748623735.012
Angola,AGO,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,49
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,45.29
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.50466338464095
Antigua and Barbuda,ATG,Age dependency ratio (% of working-age population),SP.POP.DPND,44.6783573006356
Antigua and Barbuda,ATG,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,69.1190827326922
Antigua and Barbuda,ATG,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,22.0810917475022
Antigua and Barbuda,ATG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.599
Antigua and Barbuda,ATG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.994
Antigua and Barbuda,ATG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,15.327
Antigua and Barbuda,ATG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.366
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.883640816875
Antigua and Barbuda,ATG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2072170136.49086
Antigua and Barbuda,ATG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9997253417969
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.9872341980589
Argentina,ARG,Age dependency ratio (% of working-age population),SP.POP.DPND,55.9544729116194
Argentina,ARG,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,64.1212772887989
Argentina,ARG,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,24.7609338351238
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.87
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.261
Argentina,ARG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,17.021
Argentina,ARG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.609
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.61739646282038
Argentina,ARG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1036428172096.8
Argentina,ARG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,99.800003
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Armenia,ARM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.88024626821933
Armenia,ARM,Age dependency ratio (% of working-age population),SP.POP.DPND,46.8153883189954
Armenia,ARM,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,68.11276041799
Armenia,ARM,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,20.6334219249969
Armenia,ARM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.149
Armenia,ARM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.755
Armenia,ARM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,13.987
Armenia,ARM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.857
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.19999999965324
Armenia,ARM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,38432837649.8584
Armenia,ARM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,98.099998
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9
Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Aruba,ABW,Age dependency ratio (% of working-age population),SP.POP.DPND,45.6729975227085
Aruba,ABW,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,68.6466058859653
Aruba,ABW,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,17.8024469743493
Aruba,ABW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.411
Aruba,ABW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.896
Aruba,ABW,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.652
Aruba,ABW,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.053
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..
Aruba,ABW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..
Aruba,ABW,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,15.475516485656
Australia,AUS,Age dependency ratio (% of working-age population),SP.POP.DPND,53.4850882364433
Australia,AUS,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,65.1529077338752
Australia,AUS,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,19.1906170385658
Australia,AUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.012
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.74
Australia,AUS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.6
Australia,AUS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.3
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.87097248021668
Australia,AUS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1253361153370.88
Australia,AUS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.14663762463773
Austria,AUT,Age dependency ratio (% of working-age population),SP.POP.DPND,49.9239401221367
Austria,AUT,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,66.7004859083869
Austria,AUT,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,14.2979476320233
Austria,AUT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.297
Austria,AUT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.47
Austria,AUT,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,9.7
Austria,AUT,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.5
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.50159511872086
Austria,AUT,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,503556884412.526
Austria,AUT,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Azerbaijan,AZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.22140218320925
Azerbaijan,AZE,Age dependency ratio (% of working-age population),SP.POP.DPND,41.9743777479603
Azerbaijan,AZE,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,70.4352473888986
Azerbaijan,AZE,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,23.3695698603865
Azerbaijan,AZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.68
Azerbaijan,AZE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.73
Azerbaijan,AZE,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,14
Azerbaijan,AZE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.8
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.50000000000009
Azerbaijan,AZE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,144631250275.617
Azerbaijan,AZE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,96.699997
Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
"Bahamas, The",BHS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.86046391017413
"Bahamas, The",BHS,Age dependency ratio (% of working-age population),SP.POP.DPND,42.3336704338262
"Bahamas, The",BHS,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,70.2575219701429
"Bahamas, The",BHS,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,22.4848756732367
"Bahamas, The",BHS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,83.025
"Bahamas, The",BHS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.752
"Bahamas, The",BHS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,13.968
"Bahamas, The",BHS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.771
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.76704081044245
"Bahamas, The",BHS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,14429294095.7259
"Bahamas, The",BHS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Bahrain,BHR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,19.5929758385156
Bahrain,BHR,Age dependency ratio (% of working-age population),SP.POP.DPND,27.6823885939756
Bahrain,BHR,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,78.3193560020542
Bahrain,BHR,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,19.2543101196218
Bahrain,BHR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,89.287
Bahrain,BHR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.987
Bahrain,BHR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,13.99
Bahrain,BHR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,2.385
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.13670134684136
Bahrain,BHR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,74553205529.5227
Bahrain,BHR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Bangladesh,BGD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.512837313770296
Bangladesh,BGD,Age dependency ratio (% of working-age population),SP.POP.DPND,48.9522984159591
Bangladesh,BGD,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,67.1355868778783
Bangladesh,BGD,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,27.706022482501
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,36.632
Bangladesh,BGD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.036
Bangladesh,BGD,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,18.184
Bangladesh,BGD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.529
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.86375358002958
Bangladesh,BGD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,733857377477.863
Bangladesh,BGD,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,21.799999
Bangladesh,BGD,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.8
Barbados,BRB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.36087077867709
Barbados,BRB,Age dependency ratio (% of working-age population),SP.POP.DPND,49.5791390745756
Barbados,BRB,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,66.8543578901832
Barbados,BRB,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,17.342948147683
Barbados,BRB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.147
Barbados,BRB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.619
Barbados,BRB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.648
Barbados,BRB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.004
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.580333154218167
Barbados,BRB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,4600931965.93093
Barbados,BRB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Barbados,BRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Belarus,BLR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.28364773644065
Belarus,BLR,Age dependency ratio (% of working-age population),SP.POP.DPND,46.4366704764753
Belarus,BLR,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,68.2889087752101
Belarus,BLR,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,16.8659430504801
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,78.595
Belarus,BLR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.448
Belarus,BLR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,9.9
Belarus,BLR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,12.7
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.14919759374963
Belarus,BLR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,183398223823.045
Belarus,BLR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,99
Belarus,BLR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Belgium,BEL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.17971106113614
Belgium,BEL,Age dependency ratio (% of working-age population),SP.POP.DPND,55.8704656667833
Belgium,BEL,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,64.1558335012748
Belgium,BEL,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,17.0554227603857
Belgium,BEL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,98.001
Belgium,BEL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.62
Belgium,BEL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.4
Belgium,BEL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.7
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.81920366405947
Belgium,BEL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,600241647062.199
Belgium,BEL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100
Belgium,BEL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Belize,BLZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.77512784836231
Belize,BLZ,Age dependency ratio (% of working-age population),SP.POP.DPND,53.8845637799577
Belize,BLZ,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,64.9837758535624
Belize,BLZ,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,30.2797653698662
Belize,BLZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,45.724
Belize,BLZ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.307
Belize,BLZ,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,20.786
Belize,BLZ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.716
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.90606973116134
Belize,BLZ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2848533618.20145
Belize,BLZ,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,83
Belize,BLZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.72
Benin,BEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.688722324311593
Benin,BEN,Age dependency ratio (% of working-age population),SP.POP.DPND,84.1664333524795
Benin,BEN,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,54.2987123079372
Benin,BEN,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,42.4476823945995
Benin,BEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,47.312
Benin,BEN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.836
Benin,BEN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,36.221
Benin,BEN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.871
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.69725946087986
Benin,BEN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,37173273024.8113
Benin,BEN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,4.0999999
Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,39.2386016845703
Bermuda,BMU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Bermuda,BMU,Age dependency ratio (% of working-age population),SP.POP.DPND,..
Bermuda,BMU,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,..
Bermuda,BMU,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,..
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Bermuda,BMU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.6
Bermuda,BMU,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,8.3
Bermuda,BMU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.3
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.432801300339307
Bermuda,BMU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,5329378596.94909
Bermuda,BMU,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Bermuda,BMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Bhutan,BTN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.82927799192997
Bhutan,BTN,Age dependency ratio (% of working-age population),SP.POP.DPND,46.5724094650965
Bhutan,BTN,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,68.2256345541021
Bhutan,BTN,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,25.7713537330923
Bhutan,BTN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.895
Bhutan,BTN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.975
Bhutan,BTN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,17.259
Bhutan,BTN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.245
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.05512983672538
Bhutan,BTN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,8766772471.38418
Bhutan,BTN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,78
Bhutan,BTN,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9687728881836
Bolivia,BOL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.00032766265544
Bolivia,BOL,Age dependency ratio (% of working-age population),SP.POP.DPND,61.9839616025842
Bolivia,BOL,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,61.7345048621782
Bolivia,BOL,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,31.0735477456373
Bolivia,BOL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.425
Bolivia,BOL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.73
Bolivia,BOL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,21.75
Bolivia,BOL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.772
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.22362351118875
Bolivia,BOL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,100626843894.555
Bolivia,BOL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,84.900002
Bolivia,BOL,Access to electricity (% of population),EG.ELC.ACCS.ZS,92.8
Bosnia and Herzegovina,BIH,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.78113160660171
Bosnia and Herzegovina,BIH,Age dependency ratio (% of working-age population),SP.POP.DPND,45.4260912327308
Bosnia and Herzegovina,BIH,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,68.7634648796227
Bosnia and Herzegovina,BIH,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,14.7662176493152
Bosnia and Herzegovina,BIH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,48.245
Bosnia and Herzegovina,BIH,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.265
Bosnia and Herzegovina,BIH,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,8.111
Bosnia and Herzegovina,BIH,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.712
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.74007109201324
Bosnia and Herzegovina,BIH,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,49532462764.2098
Bosnia and Herzegovina,BIH,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,45.099998
Bosnia and Herzegovina,BIH,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Botswana,BWA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.64230521985371
